"","Team","Name","Position","Week","Actual","Projected","Difference"
"950","Team 7","Matt Prater","K","13",4,7.1,-3.1
"951","Team 7","Matt Prater","K","14",6,8.1,-2.1
"952","Team 7","Matt Ryan","QB","1",23.9,18.3,5.6
"953","Team 7","Matt Ryan","QB","2",28.52,18.4,10.12
"954","Team 7","Matt Ryan","QB","3",11.42,17.6,-6.18
"955","Team 7","Matt Ryan","QB","4",12.4,21.6,-9.2
"956","Team 7","Matt Ryan","QB","5",6.94,19.3,-12.36
"957","Team 7","Matt Ryan","QB","6",31.64,18.8,12.84
"958","Team 7","Matt Ryan","QB","7",17.52,19.7,-2.18
"959","Team 7","Matt Ryan","QB","8",17.94,17.8,0.140000000000001
"960","Team 7","Matt Ryan","QB","9",22.36,18.1,4.26
"961","Team 7","Matt Ryan","QB","11",5.28,18.5,-13.22
"962","Team 7","Matt Ryan","QB","12",13.9,19.1,-5.2
"963","Team 7","Matt Ryan","QB","13",12.92,16.6,-3.68
"964","Team 7","Matt Ryan","QB","14",7.26,18,-10.74
"965","Team 7","Michael Thomas","WR","1",4.7,20.3,-15.6
"966","Team 7","Michael Thomas","WR","9",10.1,18,-7.9
"967","Team 7","Michael Thomas","WR","10",4.7,15.7,-11
"968","Team 7","Michael Thomas","WR","11",19.4,13,6.4
"969","Team 7","Michael Thomas","WR","12",9.1,14.1,-5
"970","Team 7","Michael Thomas","WR","13",19.5,16.2,3.3
"971","Team 7","Michael Thomas","WR","14",16.4,16,0.399999999999999
"972","Team 7","Mike Evans","WR","2",23.4,17.4,6
"973","Team 7","Mike Evans","WR","3",14.2,14.5,-0.300000000000001
"974","Team 7","Mike Evans","WR","4",25.2,14.7,10.5
"975","Team 7","Mike Evans","WR","5",15.1,14.8,0.299999999999999
"976","Team 7","Mike Evans","WR","6",2,14.2,-12.2
"977","Team 7","Mike Evans","WR","7",5.7,13.5,-7.8
"978","Team 7","Mike Evans","WR","8",16.5,13.5,3
"979","Team 7","Mike Evans","WR","14",8.6,14.6,-6
"980","Team 7","Mike Gesicki","TE","6",0,9.7,-9.7
"981","Team 7","Phillip Lindsay","RB","10",0.2,9.4,-9.2
"982","Team 7","Texans D/ST","D/ST","9",1,6.9,-5.9
"983","Team 7","Todd Gurley II","RB","1",13.7,15.6,-1.9
"984","Team 7","Todd Gurley II","RB","2",6.1,14.2,-8.1
"985","Team 7","Todd Gurley II","RB","4",19.3,13.5,5.8
"986","Team 7","Todd Gurley II","RB","5",25,16.1,8.9
"987","Team 7","Todd Gurley II","RB","6",9.7,14.4,-4.7
"988","Team 7","Todd Gurley II","RB","7",22.2,16.2,6
"989","Team 7","Todd Gurley II","RB","8",10.6,16.6,-6
"990","Team 7","Todd Gurley II","RB","9",13.5,15.7,-2.2
"991","Team 7","Todd Gurley II","RB","11",3.9,13.3,-9.4
"992","Team 7","Todd Gurley II","RB","12",0,0,0
"993","Team 7","Todd Gurley II","RB","13",3,11.3,-8.3
"994","Team 7","Todd Gurley II","RB","14",5.1,10.3,-5.2
"995","Team 7","Tyler Lockett","WR","1",17.2,14.6,2.6
"996","Team 7","Tyler Lockett","WR","2",19.7,13.7,6
"997","Team 7","Tyler Lockett","WR","3",37,15.7,21.3
"998","Team 7","Tyler Lockett","WR","4",5.9,17.9,-12
"999","Team 7","Tyler Lockett","WR","5",8.4,16.8,-8.4
"1000","Team 7","Tyler Lockett","WR","7",53,16.7,36.3
"1001","Team 7","Tyler Lockett","WR","8",7.3,19.3,-12
"1002","Team 7","Tyler Lockett","WR","9",8,19.9,-11.9
"1003","Team 7","Tyler Lockett","WR","10",11.6,16,-4.4
"1004","Team 7","Tyler Lockett","WR","11",21.7,18.7,3
"1005","Team 7","Tyler Lockett","WR","12",5.3,16.6,-11.3
"1006","Team 7","Tyler Lockett","WR","13",12.3,14.8,-2.5
"1007","Team 7","Tyler Lockett","WR","14",10.2,15.2,-5
"1008","Team 7","Washington D/ST","D/ST","6",6,7,-1
"1009","Team 8","49ers D/ST","D/ST","14",10,7,3
"1010","Team 8","A.J. Brown","WR","7",27.3,14.7,12.6
"1011","Team 8","Bears D/ST","D/ST","2",13,8,5
"1012","Team 8","Bears D/ST","D/ST","6",11,6.3,4.7
"1013","Team 8","Bears D/ST","D/ST","7",10,5.5,4.5
"1014","Team 8","Benny Snell Jr.","RB","13",3,12.6,-9.6
"1015","Team 8","Brian Hill","RB","12",5.5,13.5,-8
"1016","Team 8","Browns D/ST","D/ST","7",2,6.8,-4.8
"1017","Team 8","Chargers D/ST","D/ST","1",12,7.2,4.8
"1018","Team 8","Chargers D/ST","D/ST","3",4,7,-3
"1019","Team 8","Chris Godwin","WR","7",23.8,15.4,8.4
"1020","Team 8","Christian Kirk","WR","1",1,10.8,-9.8
"1021","Team 8","Clyde Edwards-Helaire","RB","1",19.8,15.3,4.5
"1022","Team 8","Clyde Edwards-Helaire","RB","2",13,16.5,-3.5
"1023","Team 8","Clyde Edwards-Helaire","RB","3",18.4,14.7,3.7
"1024","Team 8","Clyde Edwards-Helaire","RB","4",12.1,18.6,-6.5
"1025","Team 8","Clyde Edwards-Helaire","RB","5",11,19.8,-8.8
"1026","Team 8","Clyde Edwards-Helaire","RB","6",20.9,18,2.9
"1027","Team 8","Clyde Edwards-Helaire","RB","7",13.3,14.5,-1.2
"1028","Team 8","Clyde Edwards-Helaire","RB","9",12.4,14.3,-1.9
"1029","Team 8","Clyde Edwards-Helaire","RB","11",20.7,14.5,6.2
"1030","Team 8","Clyde Edwards-Helaire","RB","12",4.9,13,-8.1
"1031","Team 8","Clyde Edwards-Helaire","RB","13",0,14.4,-14.4
"1032","Team 8","D'Andre Swift","RB","7",14.8,13.2,1.6
"1033","Team 8","D'Andre Swift","RB","9",12.7,13.8,-1.1
"1034","Team 8","D'Andre Swift","RB","10",25.9,14.9,11
"1035","Team 8","D'Andre Swift","RB","14",15,13.9,1.1
"1036","Team 8","Evan Engram","TE","1",2.9,11.7,-8.8
"1037","Team 8","Evan Engram","TE","2",12.5,9.9,2.6
"1038","Team 8","Evan Engram","TE","3",5.2,11.2,-6
"1039","Team 8","Evan Engram","TE","4",9.5,10.8,-1.3
"1040","Team 8","Evan Engram","TE","5",9.5,11.4,-1.9
"1041","Team 8","Evan Engram","TE","6",5,9.7,-4.7
"1042","Team 8","Evan Engram","TE","7",10.9,9.4,1.5
"1043","Team 8","Evan Engram","TE","10",3.5,10.7,-7.2
"1044","Team 8","Evan Engram","TE","13",7.2,10.9,-3.7
"1045","Team 8","Evan Engram","TE","14",3.8,9.9,-6.1
"1046","Team 8","George Kittle","TE","7",10.5,14.9,-4.4
"1047","Team 8","Giants D/ST","D/ST","12",12,6.9,5.1
"1048","Team 8","James Conner","RB","7",14.1,17.3,-3.2
"1049","Team 8","Jonathan Taylor","RB","2",19,15.5,3.5
"1050","Team 8","Jonathan Taylor","RB","3",13.2,17.7,-4.5
"1051","Team 8","Jonathan Taylor","RB","4",8.9,15,-6.1
"1052","Team 8","Jonathan Taylor","RB","5",15.4,14.4,1
"1053","Team 8","Jonathan Taylor","RB","6",15.5,14.4,1.1
"1054","Team 8","Jonathan Taylor","RB","13",22.5,13.4,9.1
"1055","Team 8","Jonathan Taylor","RB","14",30.5,13.6,16.9
"1056","Team 8","Josh Jacobs","RB","1",35.9,18.2,17.7
"1057","Team 8","Josh Jacobs","RB","2",13.5,16.2,-2.7
"1058","Team 8","Josh Jacobs","RB","3",9.3,17.8,-8.5
"1059","Team 8","Josh Jacobs","RB","4",10.3,18.8,-8.5
"1060","Team 8","Josh Jacobs","RB","5",22.5,17.5,5
"1061","Team 8","Josh Jacobs","RB","7",6.1,16.3,-10.2
"1062","Team 8","Josh Jacobs","RB","9",13.8,17.6,-3.8
"1063","Team 8","Josh Jacobs","RB","10",29.6,16.2,13.4
"1064","Team 8","Josh Jacobs","RB","11",13.4,15.8,-2.4
"1065","Team 8","Josh Jacobs","RB","12",5.4,17.3,-11.9
"1066","Team 8","Joshua Kelley","RB","10",2.1,9.7,-7.6
"1067","Team 8","JuJu Smith-Schuster","WR","1",24.9,14.6,10.3
"1068","Team 8","JuJu Smith-Schuster","WR","2",11.8,13.7,-1.9
"1069","Team 8","JuJu Smith-Schuster","WR","3",16.3,15,1.3
"1070","Team 8","JuJu Smith-Schuster","WR","5",6.8,13.9,-7.1
"1071","Team 8","JuJu Smith-Schuster","WR","6",2.6,14.6,-12
"1072","Team 8","JuJu Smith-Schuster","WR","9",21.3,13,8.3
"1073","Team 8","JuJu Smith-Schuster","WR","10",22.7,12.6,10.1
"1074","Team 8","JuJu Smith-Schuster","WR","11",5.9,16.5,-10.6
"1075","Team 8","JuJu Smith-Schuster","WR","12",17.7,14.1,3.6
"1076","Team 8","JuJu Smith-Schuster","WR","13",9.8,14,-4.2
"1077","Team 8","JuJu Smith-Schuster","WR","14",17.5,14.7,2.8
"1078","Team 8","Julio Jones","WR","7",17.7,17.7,0
"1079","Team 8","Kalen Ballage","RB","11",14.1,14.1,0
"1080","Team 8","Kenny Golladay","WR","3",17.7,13.1,4.6
"1081","Team 8","Kenny Golladay","WR","4",16.2,14.5,1.7
"1082","Team 8","Kenny Golladay","WR","6",14.5,14.9,-0.4
"1083","Team 8","Kenny Golladay","WR","7",17.4,16,1.4
"1084","Team 8","KJ Hamler","WR","13",4.9,11.5,-6.6
"1085","Team 8","KJ Hamler","WR","14",22.6,8.8,13.8
"1086","Team 8","Matthew Stafford","QB","1",16.18,15.9,0.279999999999999
"1087","Team 8","Matthew Stafford","QB","2",16.16,17.8,-1.64
"1088","Team 8","Matthew Stafford","QB","3",18.5,17.8,0.699999999999999
"1089","Team 8","Matthew Stafford","QB","4",22.34,17.9,4.44
"1090","Team 8","Matthew Stafford","QB","6",12.32,19.8,-7.48
"1091","Team 8","Matthew Stafford","QB","7",18.4,19.2,-0.800000000000001
"1092","Team 8","Matthew Stafford","QB","10",23.04,17.2,5.84
"1093","Team 8","Matthew Stafford","QB","11",7.62,18,-10.38
"1094","Team 8","Matthew Stafford","QB","12",16.1,18.6,-2.5
"1095","Team 8","Matthew Stafford","QB","14",14.36,16.8,-2.44
"1096","Team 8","Melvin Gordon III","RB","7",12,11.7,0.300000000000001
"1097","Team 8","Mitchell Trubisky","QB","13",13.28,18,-4.72
"1098","Team 8","Nelson Agholor","WR","14",21,11.1,9.9
"1099","Team 8","Odell Beckham Jr.","WR","1",5.2,14,-8.8
"1100","Team 8","Odell Beckham Jr.","WR","6",4.5,15.3,-10.8
"1101","Team 8","Patriots D/ST","D/ST","9",3,6.3,-3.3
"1102","Team 8","Rob Gronkowski","TE","9",1.2,10.8,-9.6
"1103","Team 8","Rob Gronkowski","TE","11",4.5,9.8,-5.3
"1104","Team 8","Rob Gronkowski","TE","12",16.6,8.8,7.8
"1105","Team 8","Ryan Succop","K","1",4,7.3,-3.3
"1106","Team 8","Ryan Succop","K","2",7,7.3,-0.3
"1107","Team 8","Ryan Succop","K","3",9,7,2
"1108","Team 8","Ryan Succop","K","4",7,7.6,-0.6
"1109","Team 8","Ryan Succop","K","5",14,8.2,5.8
"1110","Team 8","Ryan Succop","K","6",10,8.5,1.5
"1111","Team 8","Ryan Succop","K","7",9,7.7,1.3
"1112","Team 8","Ryan Succop","K","9",4,8.7,-4.7
"1113","Team 8","Ryan Succop","K","10",17,8.3,8.7
"1114","Team 8","Ryan Succop","K","11",6,9.1,-3.1
"1115","Team 8","Ryan Succop","K","12",6,8.5,-2.5
"1116","Team 8","Saints D/ST","D/ST","5",2,5.7,-3.7
"1117","Team 8","Seahawks D/ST","D/ST","4",2,6.1,-4.1
"1118","Team 8","Teddy Bridgewater","QB","5",20.82,17.4,3.42
"1119","Team 8","Teddy Bridgewater","QB","9",28.3,15.5,12.8
"1120","Team 8","Tom Brady","QB","7",36.86,20.2,16.66
"1121","Team 8","Tyler Bass","K","13",10,8.3,1.7
"1122","Team 8","Tyler Bass","K","14",8,8.9,-0.9
"1123","Team 8","Vikings D/ST","D/ST","10",12,5.7,6.3
"1124","Team 8","Vikings D/ST","D/ST","11",3,6.2,-3.2
"1125","Team 8","Vikings D/ST","D/ST","13",11,6,5
"1126","Team 8","Will Fuller V","WR","2",0,13.2,-13.2
"1127","Team 8","Will Fuller V","WR","4",22.8,13.8,9
"1128","Team 8","Will Fuller V","WR","5",15.8,14.8,1
"1129","Team 8","Will Fuller V","WR","7",12.5,14.3,-1.8
"1130","Team 8","Will Fuller V","WR","9",21,13.9,7.1
"1131","Team 8","Will Fuller V","WR","10",8.8,13.6,-4.8
"1132","Team 8","Will Fuller V","WR","11",14,14.5,-0.5
"1133","Team 8","Will Fuller V","WR","12",35.1,15.7,19.4
"1134","Team 8","Zane Gonzalez","K","7",15,8,7
"1135","Team 9","Aaron Jones","RB","1",17.6,15.3,2.3
"1136","Team 9","Aaron Jones","RB","2",45.6,17.5,28.1
"1137","Team 9","Aaron Jones","RB","3",16.6,17,-0.399999999999999
"1138","Team 9","Aaron Jones","RB","4",22.1,20,2.1
"1139","Team 9","Aaron Jones","RB","6",13.1,18.4,-5.3
"1140","Team 9","Aaron Jones","RB","10",14.5,21.3,-6.8
"1141","Team 9","Aaron Jones","RB","11",17.1,17.5,-0.399999999999999
"1142","Team 9","Aaron Jones","RB","12",10,18.6,-8.6
"1143","Team 9","Aaron Jones","RB","13",23.8,18.4,5.4
"1144","Team 9","Aaron Jones","RB","14",9.5,19.1,-9.6
"1145","Team 9","Allen Robinson II","WR","1",12.3,14.9,-2.6
"1146","Team 9","Allen Robinson II","WR","2",6.3,15.7,-9.4
"1147","Team 9","Allen Robinson II","WR","3",28.3,15.1,13.2
"1148","Team 9","Allen Robinson II","WR","4",23.1,15.6,7.5
"1149","Team 9","Allen Robinson II","WR","5",19,15.3,3.7
"1150","Team 9","Allen Robinson II","WR","6",10.3,15.9,-5.6
"1151","Team 9","Allen Robinson II","WR","7",11,16.2,-5.2
"1152","Team 9","Allen Robinson II","WR","9",15.1,16.5,-1.4
"1153","Team 9","Allen Robinson II","WR","10",10.3,15.9,-5.6
"1154","Team 9","Allen Robinson II","WR","12",27.4,15.1,12.3
"1155","Team 9","Allen Robinson II","WR","13",13.5,16.9,-3.4
"1156","Team 9","Allen Robinson II","WR","14",27.3,16.2,11.1
"1157","Team 9","Austin Hooper","TE","10",2.1,9.6,-7.5
"1158","Team 9","Brandon McManus","K","10",8,8.8,-0.800000000000001
"1159","Team 9","Cam Akers","RB","1",5.3,10,-4.7
"1160","Team 9","Cole Beasley","WR","7",22.2,13.3,8.9
"1161","Team 9","Cole Beasley","WR","8",4.4,10.2,-5.8
"1162","Team 9","Cole Beasley","WR","9",6.9,11.5,-4.6
"1163","Team 9","Cole Beasley","WR","12",9.3,13,-3.7
"1164","Team 9","Cole Beasley","WR","13",28,12.4,15.6
"1165","Team 9","Cole Beasley","WR","14",9.1,13.2,-4.1
"1166","Team 9","Devontae Booker","RB","13",6.1,14.8,-8.7
"1167","Team 9","Eric Ebron","TE","5",7.3,8.4,-1.1
"1168","Team 9","J.K. Dobbins","RB","14",13.3,10.4,2.9
"1169","Team 9","Jamaal Williams","RB","7",21.4,16.8,4.6
"1170","Team 9","Jamaal Williams","RB","8",18.2,18.3,-0.100000000000001
"1171","Team 9","James White","RB","7",1.3,11.7,-10.4
"1172","Team 9","Joshua Kelley","RB","5",4.8,13.5,-8.7
"1173","Team 9","Justin Herbert","QB","8",21.22,18.8,2.42
"1174","Team 9","Justin Herbert","QB","13",4.36,21.1,-16.74
"1175","Team 9","Justin Herbert","QB","14",15.72,20.6,-4.88
"1176","Team 9","Kyler Murray","QB","1",26.3,18,8.3
"1177","Team 9","Kyler Murray","QB","2",32.14,20.4,11.74
"1178","Team 9","Kyler Murray","QB","3",21.7,22,-0.300000000000001
"1179","Team 9","Kyler Murray","QB","4",23.12,21.9,1.22
"1180","Team 9","Kyler Murray","QB","5",26.3,22,4.3
"1181","Team 9","Kyler Murray","QB","6",28.92,23.2,5.72
"1182","Team 9","Kyler Murray","QB","7",37.1,23.4,13.7
"1183","Team 9","Kyler Murray","QB","9",37.92,23.1,14.82
"1184","Team 9","Kyler Murray","QB","10",29.9,24.9,5
"1185","Team 9","Kyler Murray","QB","11",20.26,26.2,-5.94
"1186","Team 9","Kyler Murray","QB","12",7.9,23.6,-15.7
"1187","Team 9","Michael Gallup","WR","1",8,13.2,-5.2
"1188","Team 9","Michael Gallup","WR","2",7.8,13.4,-5.6
"1189","Team 9","Michael Gallup","WR","3",25.8,12.6,13.2
"1190","Team 9","Michael Gallup","WR","4",4.9,10.4,-5.5
"1191","Team 9","Michael Gallup","WR","5",11.3,9.7,1.6
"1192","Team 9","Michael Gallup","WR","6",4.3,8.2,-3.9
"1193","Team 9","Michael Pittman Jr.","WR","11",15.6,11.4,4.2
"1194","Team 9","Miles Sanders","RB","2",20.1,15.5,4.6
"1195","Team 9","Miles Sanders","RB","3",14.7,19.2,-4.5
"1196","Team 9","Miles Sanders","RB","4",9.6,17.7,-8.1
"1197","Team 9","Miles Sanders","RB","5",23.9,17.1,6.8
"1198","Team 9","Miles Sanders","RB","6",12.2,18.3,-6.1
"1199","Team 9","Miles Sanders","RB","10",13.5,18.1,-4.6
"1200","Team 9","Miles Sanders","RB","11",9.1,17.3,-8.2
"1201","Team 9","Miles Sanders","RB","12",6.2,17.1,-10.9
"1202","Team 9","Miles Sanders","RB","13",3.1,14.3,-11.2
"1203","Team 9","Nelson Agholor","WR","8",0,8.7,-8.7
"1204","Team 9","Packers D/ST","D/ST","13",12,7.5,4.5
"1205","Team 9","Patriots D/ST","D/ST","1",12,7.4,4.6
"1206","Team 9","Patriots D/ST","D/ST","2",4,5.6,-1.6
"1207","Team 9","Patriots D/ST","D/ST","3",13,6.2,6.8
"1208","Team 9","Rams D/ST","D/ST","4",12,7.7,4.3
"1209","Team 9","Rams D/ST","D/ST","5",14,7.2,6.8
"1210","Team 9","Rams D/ST","D/ST","6",-1,6.2,-7.2
"1211","Team 9","Rams D/ST","D/ST","7",14,6.5,7.5
"1212","Team 9","Rams D/ST","D/ST","8",8,7,1
"1213","Team 9","Robbie Gould","K","1",10,7.9,2.1
"1214","Team 9","Robbie Gould","K","2",8,7.8,0.2
"1215","Team 9","Robbie Gould","K","3",13,7.4,5.6
"1216","Team 9","Robbie Gould","K","4",2,8.4,-6.4
"1217","Team 9","Robbie Gould","K","5",5,8.4,-3.4
"1218","Team 9","Robby Anderson","WR","1",25.4,10.7,14.7
"1219","Team 9","Robby Anderson","WR","2",17.9,11.6,6.3
"1220","Team 9","Robby Anderson","WR","3",10.5,12.6,-2.1
"1221","Team 9","Robby Anderson","WR","4",17.9,13.7,4.2
"1222","Team 9","Robby Anderson","WR","5",19.5,15.2,4.3
"1223","Team 9","Robby Anderson","WR","6",11.7,14.7,-3
"1224","Team 9","Robby Anderson","WR","7",13.4,15,-1.6
"1225","Team 9","Robby Anderson","WR","8",9.8,16.4,-6.6
"1226","Team 9","Robby Anderson","WR","9",15.3,14.3,1
"1227","Team 9","Robby Anderson","WR","10",6.1,15.1,-9
"1228","Team 9","Robby Anderson","WR","11",11.6,14.4,-2.8
"1229","Team 9","Robby Anderson","WR","12",19.4,15.3,4.1
"1230","Team 9","Robby Anderson","WR","14",17.7,15.3,2.4
"1231","Team 9","Saints D/ST","D/ST","10",15,6.4,8.6
"1232","Team 9","T.J. Hockenson","TE","2",10.2,8.8,1.4
"1233","Team 9","T.J. Hockenson","TE","4",10.9,11,-0.0999999999999996
"1234","Team 9","T.J. Hockenson","TE","6",9.7,8.5,1.2
"1235","Team 9","T.J. Hockenson","TE","7",16.9,9.9,7
"1236","Team 9","T.J. Hockenson","TE","8",13.5,9.6,3.9
"1237","Team 9","T.J. Hockenson","TE","9",14.9,11.9,3
"1238","Team 9","T.J. Hockenson","TE","10",3.3,10,-6.7
"1239","Team 9","T.J. Hockenson","TE","11",10.8,11.3,-0.5
"1240","Team 9","T.J. Hockenson","TE","12",13.9,12,1.9
"1241","Team 9","T.J. Hockenson","TE","13",15.4,10.6,4.8
"1242","Team 9","T.J. Hockenson","TE","14",16.3,11.7,4.6
"1243","Team 9","Taysom Hill","TE","11",24.22,18,6.22
"1244","Team 9","Tyler Ervin","RB","9",11.2,10,1.2
"1245","Team 9","Tyler Higbee","TE","1",7,10.2,-3.2
"1246","Team 9","Tyler Higbee","TE","3",8,9.7,-1.7
"1247","Team 9","Washington D/ST","D/ST","9",4,7.4,-3.4
"1248","Team 9","Washington D/ST","D/ST","11",13,6,7
"1249","Team 9","Washington D/ST","D/ST","12",17,7,10
"1250","Team 9","Washington D/ST","D/ST","14",23,6.6,16.4
"1251","Team 9","Younghoe Koo","K","6",20,8.6,11.4
"1252","Team 9","Younghoe Koo","K","7",2,9,-7
"1253","Team 9","Younghoe Koo","K","8",13,8.4,4.6
"1254","Team 9","Younghoe Koo","K","9",12,9.2,2.8
"1255","Team 9","Younghoe Koo","K","11",13,8.3,4.7
"1256","Team 9","Younghoe Koo","K","12",21,9.5,11.5
"1257","Team 9","Younghoe Koo","K","13",12,9.3,2.7
"1258","Team 9","Younghoe Koo","K","14",6,8.3,-2.3
"1259","Team 9","Zack Moss","RB","8",20.1,6.1,14
"1260","Team 9","Zack Moss","RB","9",12.8,7.9,4.9
